15:20:16  28/10/2018:click dup chuot trai: X = 445 ; Y = 49
15:20:16  28/10/2018:click chuot phai: X = 449 ; Y = 49
15:20:17  28/10/2018:click chuot giua: X = 455 ; Y = 53
16:2:42  28/10/2018:click chuot trai: X = 593 ; Y = 70
16:2:49  28/10/2018:click chuot trai: X = 373 ; Y = 33
16:3:2  28/10/2018:click chuot trai: X = 153 ; Y = 190
16:3:6  28/10/2018:click chuot trai: X = 607 ; Y = 145
16:3:9  28/10/2018:click chuot trai: X = 106 ; Y = 247
16:3:12  28/10/2018:click chuot trai: X = 158 ; Y = 38
16:3:16  28/10/2018:click chuot trai: X = 481 ; Y = 57
